"credit_ID","credit_history","savings","other_debtors","other_installment_plans","number_credits"
3001,"no credits taken/all credits paid back duly","... >= 1000 DM","none","none","1"
3003,"no credits taken/all credits paid back duly","unknown/no savings account","none","none","1"
3007,"all credits at this bank paid back duly","unknown/no savings account","none","none","2-3"
3009,"no credits taken/all credits paid back duly","unknown/no savings account","none","none","1"
3010,"no credits taken/all credits paid back duly","100 <= ... <  500 DM","none","bank","2-3"
3011,"no credits taken/all credits paid back duly","unknown/no savings account","none","none","1"
3012,"no credits taken/all credits paid back duly","unknown/no savings account","guarantor","bank","1"
3013,"no credits taken/all credits paid back duly","unknown/no savings account","none","bank","1"
3019,"no credits taken/all credits paid back duly","... <  100 DM","none","none","1"
3020,"all credits at this bank paid back duly","unknown/no savings account","none","none","4-5"
3021,"no credits taken/all credits paid back duly","unknown/no savings account","none","none","1"
3022,"no credits taken/all credits paid back duly","unknown/no savings account","none","none","1"
3023,"no credits taken/all credits paid back duly","unknown/no savings account","none","none","1"
3024,"no credits taken/all credits paid back duly","... >= 1000 DM","none","none","1"
3025,"all credits at this bank paid back duly","... >= 1000 DM","none","none","2-3"
3026,"no credits taken/all credits paid back duly","unknown/no savings account","none","none","1"
3027,"no credits taken/all credits paid back duly","... >= 1000 DM","none","none","1"
3028,"all credits at this bank paid back duly","unknown/no savings account","none","none","2-3"
3029,"all credits at this bank paid back duly","... <  100 DM","none","none","1"
3035,"all credits at this bank paid back duly","unknown/no savings account","none","none","2-3"
3036,"no credits taken/all credits paid back duly","unknown/no savings account","none","none","1"
3037,"all credits at this bank paid back duly","unknown/no savings account","none","bank","2-3"
3039,"all credits at this bank paid back duly","unknown/no savings account","none","none","2-3"
3040,"all credits at this bank paid back duly","... <  100 DM","none","none","2-3"
3042,"all credits at this bank paid back duly","... <  100 DM","none","none","1"
3043,"no credits taken/all credits paid back duly","... >= 1000 DM","none","none","1"
3045,"existing credits paid back duly till now","unknown/no savings account","none","none","2-3"
3047,"no credits taken/all credits paid back duly","unknown/no savings account","none","none","1"
3048,"no credits taken/all credits paid back duly","100 <= ... <  500 DM","none","none","1"
3049,"all credits at this bank paid back duly","unknown/no savings account","none","none","45"
3051,"all credits at this bank paid back duly","unknown/no savings account","none","none","1"
3052,"all credits at this bank paid back duly","unknown/no savings account","none","none","45"
3054,"all credits at this bank paid back duly","unknown/no savings account","none","none","2-3"
3057,"no credits taken/all credits paid back duly","unknown/no savings account","co-applicant","none","2-3"
3058,"all credits at this bank paid back duly","... <  100 DM","none","none","1"
3059,"no credits taken/all credits paid back duly","unknown/no savings account","none","none","1"
3060,"delay in paying off in the past","unknown/no savings account","none","none","2-3"
3061,"no credits taken/all credits paid back duly","unknown/no savings account","none","none","1"
3062,"no credits taken/all credits paid back duly","100 <= ... <  500 DM","none","none","1"
3063,"no credits taken/all credits paid back duly","unknown/no savings account","none","bank","1"
3064,"no credits taken/all credits paid back duly","unknown/no savings account","none","none","1"
3066,"no credits taken/all credits paid back duly","... <  100 DM","none","none","1"
3067,"no credits taken/all credits paid back duly","... >= 1000 DM","none","none","1"
3069,"all credits at this bank paid back duly","unknown/no savings account","none","none","1"
3070,"existing credits paid back duly till now","... >= 1000 DM","none","none","2-3"
3071,"no credits taken/all credits paid back duly","... >= 1000 DM","none","bank","1"
3075,"no credits taken/all credits paid back duly","100 <= ... <  500 DM","none","none","1"
3078,"all credits at this bank paid back duly","100 <= ... <  500 DM","none","none","4-5"
3079,"no credits taken/all credits paid back duly","... >= 1000 DM","none","bank","1"
3081,"no credits taken/all credits paid back duly","500 <= ... < 1000 DM","none","none","1"
3082,"all credits at this bank paid back duly","unknown/no savings account","none","none","2-3"
3083,"all credits at this bank paid back duly","unknown/no savings account","none","none","2-3"
3084,"all credits at this bank paid back duly","500 <= ... < 1000 DM","none","none","2-3"
3085,"no credits taken/all credits paid back duly","... >= 1000 DM","none","none","1"
3087,"all credits at this bank paid back duly","... <  100 DM","none","none","2-3"
3088,"no credits taken/all credits paid back duly","... >= 1000 DM","none","none","1"
3089,"no credits taken/all credits paid back duly","unknown/no savings account","none","none","1"
3090,"no credits taken/all credits paid back duly","... >= 1000 DM","none","none","1"
3093,"all credits at this bank paid back duly","100 <= ... <  500 DM","none","none","2-3"
3094,"all credits at this bank paid back duly","unknown/no savings account","none","none","1"
3096,"no credits taken/all credits paid back duly","... <  100 DM","none","none","1"
3098,"no credits taken/all credits paid back duly","... <  100 DM","none","bank",">= 6"
3102,"no credits taken/all credits paid back duly","unknown/no savings account","none","none","1"
3107,"no credits taken/all credits paid back duly","unknown/no savings account","none","none","1"
3110,"existing credits paid back duly till now","unknown/no savings account","none","none","2-3"
3114,"all credits at this bank paid back duly","unknown/no savings account","none","none","2-3"
3116,"no credits taken/all credits paid back duly","unknown/no savings account","none","none","1"
3117,"no credits taken/all credits paid back duly","100 <= ... <  500 DM","none","none","1"
3118,"existing credits paid back duly till now","unknown/no savings account","none","none","2-3"
3119,"no credits taken/all credits paid back duly","... <  100 DM","none","stores","1"
3121,"no credits taken/all credits paid back duly","... <  100 DM","none","none","1"
3123,"all credits at this bank paid back duly","... >= 1000 DM","none","none","1"
3125,"all credits at this bank paid back duly","unknown/no savings account","none","none","2-3"
3126,"no credits taken/all credits paid back duly","... >= 1000 DM","none","none","1"
3127,"no credits taken/all credits paid back duly","500 <= ... < 1000 DM","none","bank","1"
3128,"existing credits paid back duly till now","unknown/no savings account","none","none","1"
3132,"existing credits paid back duly till now","... >= 1000 DM","none","none","1"
3134,"all credits at this bank paid back duly","unknown/no savings account","none","none","2-3"
3135,"no credits taken/all credits paid back duly","unknown/no savings account","none","none","1"
3138,"no credits taken/all credits paid back duly","unknown/no savings account","co-applicant","bank","1"
3139,"no credits taken/all credits paid back duly","unknown/no savings account","none","none","1"
3140,"all credits at this bank paid back duly","unknown/no savings account","none","none","4-5"
3141,"no credits taken/all credits paid back duly","... >= 1000 DM","none","none","1"
3143,"all credits at this bank paid back duly","unknown/no savings account","none","none","1"
3145,"no credits taken/all credits paid back duly","unknown/no savings account","none","none","1"
3147,"no credits taken/all credits paid back duly","... <  100 DM","none","none","1"
3148,"no credits taken/all credits paid back duly","... <  100 DM","none","none","1"
3151,"all credits at this bank paid back duly","100 <= ... <  500 DM","none","none","2-3"
3153,"delay in paying off in the past","unknown/no savings account","guarantor","none","2-3"
3156,"all credits at this bank paid back duly","unknown/no savings account","guarantor","bank","2-3"
3157,"no credits taken/all credits paid back duly","unknown/no savings account","none","none","1"
3160,"existing credits paid back duly till now","... <  100 DM","none","stores","2-3"
3161,"all credits at this bank paid back duly","unknown/no savings account","none","none","2-3"
3162,"no credits taken/all credits paid back duly","... <  100 DM","none","none","1"
3166,"no credits taken/all credits paid back duly","unknown/no savings account","none","none","2-3"
3170,"no credits taken/all credits paid back duly","unknown/no savings account","none","none","1"
3171,"no credits taken/all credits paid back duly","unknown/no savings account","none","none","1"
3173,"no credits taken/all credits paid back duly","... >= 1000 DM","none","none","1"
3174,"delay in paying off in the past","... <  100 DM","none","bank","2-3"
3175,"no credits taken/all credits paid back duly","... >= 1000 DM","none","none","2-3"
3179,"all credits at this bank paid back duly","... >= 1000 DM","none","none","1"
3180,"no credits taken/all credits paid back duly","unknown/no savings account","co-applicant","none","1"
3181,"no credits taken/all credits paid back duly","unknown/no savings account","none","none","1"
3182,"no credits taken/all credits paid back duly","unknown/no savings account","none","none","2-3"
3184,"no credits taken/all credits paid back duly","unknown/no savings account","guarantor","none","1"
3186,"no credits taken/all credits paid back duly","unknown/no savings account","none","none","1"
3187,"no credits taken/all credits paid back duly","100 <= ... <  500 DM","none","none","1"
3188,"delay in paying off in the past","... <  100 DM","none","none","2-3"
3189,"delay in paying off in the past","unknown/no savings account","none","none","2-3"
3190,"no credits taken/all credits paid back duly","unknown/no savings account","guarantor","none","1"
3195,"no credits taken/all credits paid back duly","unknown/no savings account","none","none","1"
3199,"all credits at this bank paid back duly","100 <= ... <  500 DM","none","none","1"
3200,"all credits at this bank paid back duly","unknown/no savings account","co-applicant","none","2-3"
3201,"no credits taken/all credits paid back duly","unknown/no savings account","none","none","1"
3203,"no credits taken/all credits paid back duly","unknown/no savings account","none","none","2-3"
3204,"all credits at this bank paid back duly","unknown/no savings account","none","none","1"
3205,"existing credits paid back duly till now","... <  100 DM","none","none","2-3"
3206,"no credits taken/all credits paid back duly","unknown/no savings account","guarantor","none","1"
3207,"existing credits paid back duly till now","unknown/no savings account","co-applicant","none","2-3"
3209,"no credits taken/all credits paid back duly","unknown/no savings account","none","bank","1"
3210,"delay in paying off in the past","unknown/no savings account","none","none","2-3"
3211,"existing credits paid back duly till now","unknown/no savings account","none","none","2-3"
3215,"all credits at this bank paid back duly","100 <= ... <  500 DM","none","none","1"
3221,"all credits at this bank paid back duly","500 <= ... < 1000 DM","none","none","2-3"
3222,"no credits taken/all credits paid back duly","... >= 1000 DM","none","none","1"
3223,"existing credits paid back duly till now","... >= 1000 DM","none","stores","1"
3224,"no credits taken/all credits paid back duly","unknown/no savings account","co-applicant","none","1"
3226,"no credits taken/all credits paid back duly","unknown/no savings account","co-applicant","none","1"
3227,"all credits at this bank paid back duly","unknown/no savings account","co-applicant","none","2-3"
3228,"no credits taken/all credits paid back duly","unknown/no savings account","co-applicant","none","1"
3230,"no credits taken/all credits paid back duly","... >= 1000 DM","none","none","1"
3232,"no credits taken/all credits paid back duly","unknown/no savings account","none","none","1"
3233,"no credits taken/all credits paid back duly","... >= 1000 DM","none","none","1"
3235,"all credits at this bank paid back duly","500 <= ... < 1000 DM","none","none","2-3"
3240,"all credits at this bank paid back duly","... >= 1000 DM","none","none","2-3"
3242,"no credits taken/all credits paid back duly","unknown/no savings account","none","none","1"
3243,"all credits at this bank paid back duly","... <  100 DM","none","none","2-3"
3244,"no credits taken/all credits paid back duly","unknown/no savings account","none","none","1"
3248,"all credits at this bank paid back duly","... >= 1000 DM","co-applicant","none","1"
3249,"existing credits paid back duly till now","unknown/no savings account","none","bank","2-3"
3250,"no credits taken/all credits paid back duly","500 <= ... < 1000 DM","none","none","1"
3252,"delay in paying off in the past","unknown/no savings account","none","none","2-3"
3254,"existing credits paid back duly till now","unknown/no savings account","none","stores","2-3"
3255,"no credits taken/all credits paid back duly","unknown/no savings account","none","none","2-3"
3257,"delay in paying off in the past","unknown/no savings account","none","none","2-3"
3258,"delay in paying off in the past","100 <= ... <  500 DM","none","none","2-3"
3261,"no credits taken/all credits paid back duly","unknown/no savings account","none","none","1"
3267,"all credits at this bank paid back duly","unknown/no savings account","none","stores","2-3"
3268,"no credits taken/all credits paid back duly","unknown/no savings account","none","none","1"
3270,"all credits at this bank paid back duly","unknown/no savings account","none","none","1"
3271,"no credits taken/all credits paid back duly","... >= 1000 DM","co-applicant","none","1"
3272,"all credits at this bank paid back duly","unknown/no savings account","none","none","2-3"
3273,"no credits taken/all credits paid back duly","... >= 1000 DM","none","none","1"
3274,"no credits taken/all credits paid back duly","unknown/no savings account","none","none","1"
3275,"existing credits paid back duly till now","unknown/no savings account","none","stores","1"
3278,"no credits taken/all credits paid back duly","... <  100 DM","none","none","1"
3279,"no credits taken/all credits paid back duly","unknown/no savings account","none","none","1"
3280,"all credits at this bank paid back duly","100 <= ... <  500 DM","none","none","1"
3281,"all credits at this bank paid back duly","500 <= ... < 1000 DM","none","none","2-3"
3282,"no credits taken/all credits paid back duly","unknown/no savings account","none","none","1"
3283,"no credits taken/all credits paid back duly","... <  100 DM","none","none","1"
3285,"all credits at this bank paid back duly","unknown/no savings account","none","none","4-5"
3287,"all credits at this bank paid back duly","unknown/no savings account","none","bank","2-3"
3288,"no credits taken/all credits paid back duly","100 <= ... <  500 DM","none","none","1"
3289,"no credits taken/all credits paid back duly","unknown/no savings account","none","none","1"
3290,"all credits at this bank paid back duly","100 <= ... <  500 DM","none","none","2-3"
3293,"no credits taken/all credits paid back duly","unknown/no savings account","none","none","1"
3294,"no credits taken/all credits paid back duly","unknown/no savings account","none","none","1"
3295,"no credits taken/all credits paid back duly","unknown/no savings account","none","none","1"
3298,"all credits at this bank paid back duly","500 <= ... < 1000 DM","none","none","2-3"
3300,"no credits taken/all credits paid back duly","100 <= ... <  500 DM","none","none","1"
3301,"no credits taken/all credits paid back duly","unknown/no savings account","none","none","1"
