"credit_ID","duration","purpose","amount","credit_risk"
3836,18,"car (used)",1049,"good"
3679,9,"others",2799,"good"
3129,12,"retraining",841,"good"
3299,8,"others",3398,"good"
3270,6,"others",1361,"good"
3978,18,"furniture/equipment",1098,"good"
3307,11,"others",3905,"good"
3597,30,"car (new)",6187,"good"
3874,48,"business",7582,"good"
3950,18,"furniture/equipment",1936,"good"
3775,18,"furniture/equipment",3213,"good"
3037,12,"others",3124,"good"
3105,36,"domestic appliances",2384,"bad"
3729,12,"radio/television",1424,"good"
3677,12,"car (used)",652,"good"
3987,15,"others",3556,"good"
3382,42,"car (new)",4796,"good"
3940,36,"others",3535,"good"
3931,15,"others",1721,"good"
3326,6,"others",860,"good"
3984,12,"others",1495,"good"
3554,12,"furniture/equipment",1934,"good"
3111,24,"car (new)",3868,"good"
3404,12,"domestic appliances",996,"good"
3924,24,"business",1755,"good"
3532,18,"others",1028,"good"
3556,18,"repairs",1239,"good"
3889,18,"others",1216,"bad"
3121,24,"others",1474,"good"
3040,24,"retraining",1382,"good"
3375,9,"others",1224,"good"
3248,12,"furniture/equipment",2331,"good"
3198,24,"car (new)",6313,"good"
3378,12,"furniture/equipment",385,"good"
3039,12,"furniture/equipment",1655,"good"
3390,36,"others",3079,"good"
3642,36,"others",10875,"good"
3022,12,"furniture/equipment",3077,"good"
3742,12,"furniture/equipment",1567,"good"
3193,24,"others",2032,"good"
3371,21,"car (used)",2745,"good"
3965,24,"car (used)",929,"good"
3767,12,"furniture/equipment",3399,"bad"
3492,9,"car (used)",2030,"good"
3616,24,"others",1940,"good"
3843,15,"furniture/equipment",1979,"good"
3465,24,"others",2022,"good"
3808,18,"others",5866,"good"
3977,15,"car (new)",2360,"good"
3176,15,"car (used)",1520,"good"
3345,12,"others",3651,"good"
3791,24,"car (new)",2346,"good"
3871,24,"others",1965,"good"
3029,12,"others",1995,"good"
3733,9,"furniture/equipment",1364,"good"
3545,12,"furniture/equipment",3573,"good"
3557,36,"retraining",4455,"bad"
3287,42,"retraining",5954,"good"
3614,24,"car (used)",3777,"good"
3329,24,"retraining",4712,"good"
3487,36,"others",7432,"bad"
3855,24,"furniture/equipment",1851,"good"
3498,18,"furniture/equipment",1473,"good"
3576,6,"car (used)",428,"good"
3490,12,"others",2366,"good"
3736,12,"car (used)",763,"good"
3103,21,"car (used)",3976,"good"
3051,9,"car (used)",1919,"good"
3907,24,"car (new)",2603,"good"
3998,36,"furniture/equipment",4795,"good"
3811,36,"car (new)",5842,"good"
3282,6,"furniture/equipment",2063,"good"
3143,15,"furniture/equipment",1459,"good"
3442,15,"furniture/equipment",1213,"good"
3285,24,"furniture/equipment",5103,"good"
3048,6,"car (used)",2978,"good"
3501,18,"others",1820,"good"
3536,6,"car (used)",2116,"good"
3918,6,"car (used)",1543,"good"
3339,24,"others",2325,"good"
3346,6,"vacation",932,"good"
3043,36,"furniture/equipment",3835,"good"
3910,24,"furniture/equipment",5084,"good"
3590,9,"car (used)",2406,"good"
3959,36,"furniture/equipment",2394,"good"
3796,21,"car (new)",2476,"good"
3628,24,"car (new)",2964,"good"
3233,12,"car (used)",1262,"good"
3293,12,"retraining",1542,"good"
3451,12,"furniture/equipment",2171,"good"
3086,48,"car (new)",8858,"good"
3483,24,"others",3512,"good"
3327,12,"furniture/equipment",1158,"good"
3622,24,"furniture/equipment",2684,"good"
3819,30,"furniture/equipment",5954,"good"
3812,48,"retraining",6416,"bad"
3049,12,"car (used)",3617,"good"
3242,24,"car (used)",3972,"good"
3818,30,"furniture/equipment",5771,"good"
3751,15,"car (used)",2788,"good"
3135,36,"furniture/equipment",5848,"good"
3377,24,"furniture/equipment",1552,"good"
3408,12,"furniture/equipment",1963,"good"
3565,24,"retraining",4139,"good"
3467,12,"car (new)",1804,"good"
3356,18,"retraining",1950,"good"
3891,9,"radio/television",1236,"good"
3842,30,"retraining",8072,"good"
3992,9,"retraining",1449,"good"
3124,36,"retraining",5742,"good"
3610,36,"repairs",2273,"good"
3019,24,"furniture/equipment",1901,"good"
3273,36,"repairs",3711,"good"
3543,24,"others",2255,"good"
3686,33,"car (new)",7253,"good"
3403,6,"others",6761,"good"
3587,12,"furniture/equipment",2141,"good"
3777,28,"car (new)",7824,"good"
3604,18,"furniture/equipment",1445,"good"
3634,24,"car (used)",7721,"good"
3138,18,"retraining",4439,"good"
3500,15,"furniture/equipment",1444,"good"
3761,48,"others",12169,"good"
3939,9,"furniture/equipment",2753,"good"
3229,4,"others",1494,"good"
3140,6,"others",1299,"good"
3938,10,"others",3949,"good"
3508,10,"car (new)",2901,"good"
3854,6,"others",709,"good"
3968,47,"others",10722,"bad"
3271,10,"others",1287,"good"
3512,24,"car (new)",4679,"good"
3504,18,"car (used)",2659,"good"
3457,24,"furniture/equipment",1516,"good"
3127,21,"retraining",1572,"good"
3645,48,"retraining",3566,"good"
3041,24,"furniture/equipment",1278,"good"
3548,6,"furniture/equipment",426,"good"
3305,39,"car (new)",8588,"good"
3413,30,"car (new)",3857,"good"
3309,21,"car (used)",2241,"good"
3773,24,"furniture/equipment",2384,"good"
3441,4,"car (used)",601,"good"
3117,39,"car (new)",2569,"good"
3764,15,"furniture/equipment",1316,"good"
3900,18,"retraining",1568,"good"
3349,24,"car (new)",3488,"good"
3857,24,"car (used)",4151,"good"
3872,18,"others",2899,"good"
3455,12,"furniture/equipment",804,"good"
3783,36,"furniture/equipment",3595,"good"
3822,36,"car (new)",5711,"good"
3234,15,"car (used)",3643,"good"
3484,10,"car (used)",2146,"good"
3073,5,"retraining",3448,"good"
3553,11,"others",1393,"good"
3762,9,"car (used)",1313,"good"
3062,22,"furniture/equipment",2675,"good"
3941,9,"furniture/equipment",2118,"good"
3644,36,"others",909,"good"
3035,12,"car (used)",1258,"good"
3381,15,"furniture/equipment",1569,"good"
3697,6,"domestic appliances",660,"good"
3846,24,"car (used)",2835,"good"
3665,24,"car (new)",2670,"bad"
3031,12,"vacation",3447,"good"
3028,21,"retraining",3652,"good"
3735,24,"furniture/equipment",3660,"good"
3148,9,"furniture/equipment",1126,"good"
3772,6,"furniture/equipment",683,"good"
3572,12,"car (used)",2251,"good"
3284,12,"car (new)",4675,"good"
3268,6,"others",672,"good"
